"filename", "language", "Dart", "HTTP", "comment", "blank", "total"
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\tax_consultant.dart", "Dart", 318, 0, 1, 2, 321
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\tax_consultants_list.dart", "Dart", 700, 0, 0, 2, 702
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\transporters_list.dart", "Dart", 307, 0, 0, 25, 332
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\user_notification.dart", "Dart", 241, 0, 2, 16, 259
"d:\SIH_2020\smart_textile\lib\main_content\screens\shared\wholesalers_list.dart", "Dart", 393, 0, 113, 18, 524
"d:\SIH_2020\smart_textile\lib\main_content\screens\transporters\t_home_page.dart", "Dart", 28, 0, 0, 2, 30
"d:\SIH_2020\smart_textile\lib\main_content\screens\wholesalers\w_home_page.dart", "Dart", 40, 0, 0, 2, 42
"d:\SIH_2020\smart_textile\lib\main_content\screens\wholesalers\wholesaler_dashboard.dart", "Dart", 338, 0, 0, 5, 343
"d:\SIH_2020\smart_textile\lib\main_content\screens\wholesalers\wholesaler_order.dart", "Dart", 399, 0, 2, 14, 415
"d:\SIH_2020\smart_textile\lib\main_content\services\api_favrouite.dart", "Dart", 42, 0, 0, 4, 46
"d:\SIH_2020\smart_textile\lib\main_content\services\api_orders.dart", "Dart", 117, 0, 0, 14, 131
"d:\SIH_2020\smart_textile\lib\main_content\services\api_products.dart", "Dart", 41, 0, 0, 5, 46
"d:\SIH_2020\smart_textile\lib\main_content\services\api_requirements.dart", "Dart", 42, 0, 0, 4, 46
"d:\SIH_2020\smart_textile\lib\main_content\services\launching_services.dart", "Dart", 11, 0, 0, 3, 14
"d:\SIH_2020\smart_textile\lib\main_content\services\photo.dart", "Dart", 28, 0, 0, 4, 32
"d:\SIH_2020\smart_textile\lib\main_content\services\supplier_services.dart", "Dart", 49, 0, 0, 8, 57
"d:\SIH_2020\smart_textile\lib\main_content\shared\size_config.dart", "Dart", 25, 0, 0, 5, 30
"d:\SIH_2020\smart_textile\lib\shared\check_user.dart", "Dart", 84, 0, 51, 10, 145
"d:\SIH_2020\smart_textile\lib\shared\log_out.dart", "Dart", 8, 0, 0, 2, 10
"d:\SIH_2020\smart_textile\lib\shared\provider_user.dart", "Dart", 271, 0, 0, 32, 303
"d:\SIH_2020\smart_textile\lib\shared\push_notification.dart", "Dart", 43, 0, 0, 4, 47
"d:\SIH_2020\smart_textile\lib\shared\size_config.dart", "Dart", 25, 0, 0, 5, 30
"Total", "-", 40822, 2, 532, 1405, 42761
